0 1  0.023854	-0.117940  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  14.911699	-16.881637	-0.832700 -51.527959	 54.974321	-10.086936	 78.325486	-15.852271 -52.083156	 77.913906	 0.330077	 15.432400	 72.644260  37.244440	 3.691990	 7.140528	-46.063055	-16.161612	 1.465740  30.476694	 13.521311	-13.915627	-20.056096	-0.032117	-18.737694
20 1  0.042682	-0.156634  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  26.691964	 2.351802	-17.928770 -14.068924	 60.392512	 43.839216	 56.042306	-41.480791 -69.279304	 33.005889	 27.399954	 27.890920	 72.366225  17.494899	 3.520135	 26.285132	-31.855846	-14.521538	-7.278719  37.922556	 5.678719	-34.864857	-41.781000	-11.329505	-12.639844
40 1  0.015993	-0.124328  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  16.661268	-18.443892	-8.559257 -70.669815	 50.750527	 7.237927	 66.077089	 23.200270 -85.420582	 60.004742	 32.263715	 99.302226	 41.074612  42.001255	 3.831315	 8.699146	-46.888375	-12.632667	 0.780142  38.818469	 12.685521	-17.674341	-26.559657	 0.765046	-18.657993
60 1  0.043595	-0.141111  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  2.706503	 17.655682	-4.294718 -72.816240	 59.352314	-4.997748	 38.130412	-81.192065  2.706324	 64.104778	 15.145883	 47.844515	-17.886800  11.573674	 16.398544	-4.881047	-1.490176	 1.031328	-16.539808  23.695191	 1.039815	 3.825558	-33.375808	-17.416293	-0.046601
80 1  0.015768	-0.100796  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  20.059595	 17.643465	-16.890893 -36.185255	 42.890917	 1.388499	 88.267163	-75.877048 -94.046589	 47.037117	-14.262656	 71.324413	-87.822743  31.779025	 6.768094	 1.484615	-30.059904	-3.130483	-6.822976  33.044479	 8.726534	-9.421575	-26.656877	 0.061731	-10.609606
100 1  0.010801	-0.113932  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  7.769239	 4.127370	-4.932844 -38.911533	 94.287273	 3.108369	 15.304744	 19.366700 -66.114739	 58.902355	 5.762883	 33.870614	-13.580411  42.836233	 0.378672	-8.992297	-39.793999	-7.231821	-7.920801  42.032318	 14.922498	-0.814905	-45.452771	-12.594550	-10.308030
120 1  0.026807	-0.134408  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  26.809495	-15.297899	-3.595113 -72.404958	 74.299987	-6.212685	 32.631803	-19.968129  5.613738	 77.197685	-4.951153	 104.323476	-6.935960  15.150904	 6.867352	 2.362144	-38.627282	-15.744785	-5.285599  14.611738	 9.282142	-8.810562	-30.762137	-10.007216	-11.978692
140 1  0.021014	-0.067982  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  6.823958	 19.831917	-10.242798 -40.987678	 54.679035	 10.043477	 43.639319	-73.160551 -64.514648	 64.431059	 52.240185	 65.591199	-0.341282  33.290512	 1.437986	-4.609011	-40.923707	-13.068191	-2.894935  26.543028	 14.141656	-1.906500	-29.913829	-8.469185	-14.399151
160 1  0.031799	-0.168390  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14 -11.169964	-4.994484	-18.693778 -92.042147	 54.058905	 45.173759	 81.082850	 80.539349 -61.921829	 74.389797	-12.854473	 85.574732	-1.687194  33.721054	 2.467434	-12.432681	-8.355682	 4.473365	-13.146327  44.577562	 15.962257	 5.176144	-45.098882	-18.645323	-4.339998
180 1  0.040126	-0.171131  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  28.982508	-14.225356	 7.062625 -95.458550	 47.174436	-35.205483	 49.288716	 71.096505  7.031406	 65.509055	 39.570021	 51.283551	-1.626823  12.960329	 9.902107	-10.998224	-22.421551	-6.129609	-13.784378  15.508825	 6.838986	 5.517149	-38.289280	-17.024190	-3.325186
200 1  0.062965	-0.148293  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  0.065979	 14.946529	-18.908720 -77.788021	 46.961824	-14.593231	 23.666657	-79.808225 -81.586600	 38.775645	-14.863287	 105.848180	-5.436346  18.724347	 4.184496	 26.307944	-7.134709	-4.160339	-9.640346  42.422843	 4.074399	-30.113968	-26.690682	-6.506641	-9.061127
220 1  0.062107	-0.147451  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  5.906102	 10.600247	-18.127051 -0.900504	 38.930314	 15.389623	 35.039565	 81.545100 -85.767543	 61.687446	-1.503650	 18.221725	 83.856900  27.917719	 7.010037	 25.723078	-16.221599	-8.329386	-7.182018  40.790588	 6.864995	-29.099829	-9.986501	 3.045859	-11.328364
240 1  0.065164	-0.142298  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  24.698640	 7.801862	-5.437599 -1.689714	 51.517021	-9.825093	 75.129080	 44.094329  7.657518	 95.554002	 56.208535	 61.329346	-19.125684 -3.459382	 9.953197	 33.561729	-21.968639	-18.795923	-8.608353  13.968767	 2.025733	-34.804737	-16.982504	-6.001059	-11.147239
260 1  0.015911	-0.150148  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  9.334858	 16.565834	-4.810185 -79.696963	 29.445729	-17.062401	 59.721615	 79.543876 -28.228584	 77.387619	 31.251578	 42.120464	-86.352525 -6.156021	 13.141521	 8.989660	-8.079263	-3.020995	-14.910817  12.094081	 0.564042	-10.793197	-35.098596	-14.345547	-1.977534
280 1  0.031514	-0.156006  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14 -8.930344	-17.809441	-17.520852 -17.696120	 28.940934	 30.105424	 56.491751	 42.440388 -10.425638	 35.357714	-19.017994	 55.893362	-55.778952  32.083012	 10.145669	-15.393194	-18.274276	-3.222697	-12.683981  29.511936	 6.240775	 10.637722	-28.942257	-12.703729	-4.500401
300 1  0.054753	-0.173422  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  36.695484	-10.127510	-13.562585 -58.468875	 66.270982	 14.810724	 40.238077	-23.805366 -12.046915	 84.168616	 35.231720	 21.895079	-13.224153  8.297641	 2.609057	 21.334349	-24.449449	-13.497928	-7.014331  26.556159	 8.718675	-27.823258	-35.720072	-12.722430	-11.579633
320 1  0.017569	-0.093558  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14 -10.667633	 19.497235	-14.531146 -19.720453	 43.061993	 5.486951	 65.090137	-59.740719 -3.391560	 46.662581	 42.078886	 64.935838	 43.811220  35.286907	 2.920895	-7.341023	-42.287729	-17.058311	-6.721301  31.953806	 12.999438	 0.381549	-41.295432	-18.337069	-10.930189
340 1  0.058844	-0.124912  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  7.133771	 13.113937	-1.134415 -83.079892	 59.888980	 36.236189	 79.693460	-57.680666 -66.949129	 88.921757	-35.958733	 101.032094	 22.429844  38.081998	 14.113803	 13.992173	-39.988673	-17.710449	-7.212808  43.951623	 1.661628	-20.442551	-29.621705	-6.409248	-11.002016
360 1  0.020035	-0.106678  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14  12.214114	-0.555266	-13.846587 -4.361180	 93.189251	-11.253663	 79.871396	-29.850918 -1.431460	 94.267068	 26.047137	 83.666836	-4.714008  29.427597	 14.700449	 16.700438	-45.627062	-18.492701	-2.578971  26.945697	 4.370546	-24.080973	-12.325530	 5.753552	-15.837373
380 1  0.033362	-0.126262  0.0 -0.26 0.0 -0.7 0.0 -0.7 3.14 -4.015808	-2.283451	 9.318315  6.691446	 58.013326	-29.389445	 64.124802	-6.007272 -44.260962	 34.824485	-23.003968	 49.614546	 12.931904  34.734284	 3.314548	 2.065238	-13.869616	 0.020173	-5.244843  34.775112	 12.930180	-5.938528	-9.613207	 3.175620	-11.415417
