0,0,0,0,0
0.01,7.9438e-24,-7.5205e-14,0,0
0.02,7.9589e-24,-7.5348e-14,0,0
0.03,7.9892e-24,-7.5635e-14,0,0
0.04,8.0347e-24,-7.6066e-14,0,0
0.05,8.0956e-24,-7.6642e-14,0,0
0.06,8.1718e-24,-7.7364e-14,0,0
0.07,8.2636e-24,-7.8233e-14,0,0
0.08,8.3711e-24,-7.9251e-14,0,0
0.09,8.4946e-24,-8.042e-14,0,0
0.1,8.6343e-24,-8.1742e-14,0,0
0.11,8.7904e-24,-8.322e-14,0,0
0.12,8.9633e-24,-8.4857e-14,0,0
0.13,9.1532e-24,-8.6655e-14,0,0
0.14,9.3606e-24,-8.8618e-14,0,0
0.15,9.5858e-24,-9.075e-14,0,0
0.16,9.8293e-24,-9.3055e-14,0,0
0.17,1.0091e-23,-9.5537e-14,0,0
0.18,1.0373e-23,-9.8201e-14,0,0
0.19,1.0674e-23,-1.0105e-13,0,0
0.2,1.0996e-23,-1.041e-13,0,0
0.21,1.1338e-23,-1.0734e-13,0,0
0.22,1.1702e-23,-1.1078e-13,0,0
0.23,1.2088e-23,-1.1444e-13,0,0
0.24,1.2498e-23,-1.1832e-13,0,0
0.25,1.2931e-23,-1.2242e-13,0,0
0.26,1.3389e-23,-1.2675e-13,0,0
0.27,1.3872e-23,-1.3133e-13,0,0
0.28,1.4382e-23,-1.3615e-13,0,0
0.29,1.4919e-23,-1.4124e-13,0,0
0.3,1.5484e-23,-1.4659e-13,0,0
0.31,1.6079e-23,-1.5223e-13,0,0
0.32,1.6705e-23,-1.5815e-13,0,0
0.33,1.7362e-23,-1.6437e-13,0,0
0.34,1.8053e-23,-1.7091e-13,0,0
0.35,1.8778e-23,-1.7777e-13,0,0
0.36,1.9539e-23,-1.8498e-13,0,0
0.37,2.0337e-23,-1.9253e-13,0,0
0.38,2.1173e-23,-2.0045e-13,0,0
0.39,2.205e-23,-2.0875e-13,0,0
0.4,2.2969e-23,-2.1745e-13,0,0
0.41,2.3932e-23,-2.2657e-13,0,0
0.42,2.494e-23,-2.3611e-13,0,0
0.43,2.5996e-23,-2.4611e-13,0,0
0.44,2.7102e-23,-2.5657e-13,0,0
0.45,2.8259e-23,-2.6753e-13,0,0
0.46,2.9469e-23,-2.7899e-13,0,0
0.47,3.0736e-23,-2.9099e-13,0,0
0.48,3.2062e-23,-3.0353e-13,0,0
0.49,3.3448e-23,-3.1666e-13,0,0
0.5,3.4899e-23,-3.3039e-13,0,0
0.51,3.6416e-23,-3.4475e-13,0,0
0.52,3.8002e-23,-3.5977e-13,0,0
0.53,3.966e-23,-3.7547e-13,0,0
0.54,4.1394e-23,-3.9189e-13,0,0
0.55,4.3207e-23,-4.0905e-13,0,0
0.56,4.5102e-23,-4.2699e-13,0,0
0.57,4.7084e-23,-4.4575e-13,0,0
0.58,4.9154e-23,-4.6535e-13,0,0
0.59,5.1319e-23,-4.8584e-13,0,0
0.6,5.3581e-23,-5.0726e-13,0,0
0.61,5.5945e-23,-5.2964e-13,0,0
0.62,5.8416e-23,-5.5303e-13,0,0
0.63,6.0998e-23,-5.7748e-13,0,0
0.64,6.3697e-23,-6.0302e-13,0,0
0.65,6.6516e-23,-6.2972e-13,0,0
0.66,6.9463e-23,-6.5761e-13,0,0
0.67,7.2541e-23,-6.8676e-13,0,0
0.68,7.5758e-23,-7.1721e-13,0,0
0.69,7.9119e-23,-7.4903e-13,0,0
0.7,8.2631e-23,-7.8228e-13,0,0
0.71,8.63e-23,-8.1702e-13,0,0
0.72,9.0134e-23,-8.5331e-13,0,0
0.73,9.4139e-23,-8.9123e-13,0,0
0.74,9.8324e-23,-9.3085e-13,0,0
0.75,1.027e-22,-9.7224e-13,0,0
0.76,1.0726e-22,-1.0155e-12,0,0
0.77,1.1204e-22,-1.0607e-12,0,0
0.78,1.1702e-22,-1.1079e-12,0,0
0.79,1.2223e-22,-1.1572e-12,0,0
0.8,1.2767e-22,-1.2087e-12,0,0
0.81,1.3335e-22,-1.2625e-12,0,0
0.82,1.3929e-22,-1.3187e-12,0,0
0.83,1.455e-22,-1.3774e-12,0,0
0.84,1.5198e-22,-1.4388e-12,0,0
