0.00000,   -0.00000,   -0.08000,    0.00000
3.00000,   -0.00000,   -0.08000,    0.00000
7.00000,   -0.00000,   -0.08000,    0.00000
9.00000,   -0.02500,   -0.08000,    0.04000
11.00000,   -0.05000,   -0.08000,    0.00000
15.00000,   -0.05000,   -0.08000,    0.00000
19.00000,   -0.05000,   -0.08000,    0.00000
21.00000,   -0.10000,   -0.08000,    0.04000
23.00000,   -0.15000,   -0.08000,    0.00000
27.00000,   -0.15000,   -0.08000,    0.00000
31.00000,   -0.15000,   -0.08000,    0.00000
33.00000,   -0.20000,   -0.08000,    0.04000
35.00000,   -0.25000,   -0.08000,    0.00000
39.00000,   -0.25000,   -0.08000,    0.00000
42.00000,   -0.25000,   -0.08000,    0.00000
45.00000,   -0.25000,   -0.08000,    0.00000
48.00000,   -0.25000,   -0.08000,    0.00000
